Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;;ssim;psnr;mse;;min fs;max fs ;avg fs;median fs
churchandcapitol;82;0,071710023;3,51;57662;634x505;1,4407;82;0,971667863;33,95382107;26,16364536;;;;;
churchandcapitol;83;0,075971614;3,75;59667;634x505;1,4908;83;0,973121923;34,18422235;24,81179165;;;;;
churchandcapitol;84;0,074125049;3,72;61848;634x505;1,5453;84;0,974490358;34,41737986;23,51485877;;;;;
churchandcapitol;85;0,070716961;3,5;64344;634x505;1,6077;85;0,97598163;34,66748976;22,19889642;;;;;
churchandcapitol;86;0,071823713;3,52;67088;634x505;1,6763;86;0,977587798;34,95185028;20,79195532;;;;;
churchandcapitol;87;0,072686956;3,64;70267;634x505;1,7557;87;0,97905196;35,22585728;19,5206661;;;;;
churchandcapitol;88;0,071873064;3,45;72946;634x505;1,8226;88;0,980514953;35,37582801;18,85808373;;;;;
churchandcapitol;89;0,072414356;3,65;76640;634x505;1,9149;89;0,982027128;35,71417498;17,44467418;;;;;
churchandcapitol;90;0,073001677;3,59;81005;634x505;2,024;90;0,983518454;36,06709091;16,08315582;;;;;
churchandcapitol;91;0,076065014;3,77;85859;634x505;2,1453;91;0,985031169;36,44444138;14,74470958;;;;;
churchandcapitol;92;0,07441441;3,62;91982;634x505;2,2983;92;0,986544537;36,87620315;13,34934774;;;;;
churchandcapitol;93;0,078514461;3,77;99259;634x505;2,4801;93;0,988112257;37,35207571;11,96390043;;;;;
churchandcapitol;94;0,080635687;3,86;107319;634x505;2,6815;94;0,989610566;37,91090934;10,51936263;;;;;
churchandcapitol;95;0,076749126;3,92;117811;634x505;2,9437;95;0,991230994;38,55553277;9,068325161;;;;;
churchandcapitol;96;0,08221638;3,96;131616;634x505;3,2886;96;0,992737658;39,34207908;7,566106548;;;;;
churchandcapitol;97;0,08211511;3,92;149842;634x505;3,744;97;0,994273362;40,29526506;6,075105933;;;;;
churchandcapitol;98;0,083494814;4,02;179292;634x505;4,4799;98;0,995768279;41,94579098;4,154332594;;;;;
churchandcapitol;99;0,089159488;4,19;220451;634x505;5,5083;99;0,997099857;43,78729973;2,718631769;;;;;
coinsinfountain;77;0,035553591;2,26;54781;640x512;1,3374;77;0,951387994;32,29171525;38,3626709;;;;;
coinsinfountain;78;0,036961984;2,32;56719;640x512;1,3847;78;0,953414988;32,44990591;36,99046326;;;;;
coinsinfountain;79;0,039821981;2,31;58546;640x512;1,4293;79;0,955608665;32,60788854;35,66904704;;;;;
coinsinfountain;80;0,039466841;2,29;60603;640x512;1,4795;80;0,957837781;32,82948278;33,89472249;;;;;
coinsinfountain;81;0,039328821;2,33;62761;640x512;1,5322;81;0,960228241;33,03939119;32,29544271;;;;;
coinsinfountain;82;0,039468111;2,26;65157;640x512;1,5907;82;0,962496358;33,26309011;30,67406616;;;;;
coinsinfountain;83;0,03911861;2,22;67791;640x512;1,655;83;0,964836186;33,51361769;28,95466817;;;;;
coinsinfountain;84;0,038436468;2,26;70948;640x512;1,7321;84;0,967082307;33,76176226;27,34665019;;;;;
coinsinfountain;85;0,036158752;2,18;73588;640x512;1,7965;85;0,969331378;34,01443515;25,80101827;;;;;
coinsinfountain;86;0,037877487;2,35;77336;640x512;1,888;86;0,971630357;34,30307329;24,14198812;;;;;
coinsinfountain;87;0,040172013;2,32;81223;640x512;1,9829;87;0,973863225;34,59329193;22,58141581;;;;;
coinsinfountain;88;0,039644231;2,33;84544;640x512;2,064;88;0,975832251;34,75135223;21,77434692;;;;;
coinsinfountain;89;0,040080683;2,4;89462;640x512;2,1841;89;0,978019525;35,1108115;20,04468384;;;;;
coinsinfountain;90;0,039574291;2,36;95082;640x512;2,3213;90;0,980263282;35,50224898;18,31704712;;;;;
coinsinfountain;91;0,037837987;2,3;101201;640x512;2,4707;91;0,982532442;35,91630277;16,65137431;;;;;
coinsinfountain;92;0,040239873;2,36;108222;640x512;2,6421;92;0,984669638;36,43062055;14,79170736;;;;;
coinsinfountain;93;0,038493638;2,25;117025;640x512;2,857;93;0,986960055;36,99488508;12,98948263;;;;;
coinsinfountain;94;0,04290061;2,53;126642;640x512;3,0918;94;0,989099201;37,6117;11,26964823;;;;;
coinsinfountain;95;0,045119865;2,53;139252;640x512;3,3997;95;0,991124538;38,3856343;9,430113729;;;;;
