Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,,,,
caps,62,0.037829712,1.84,1696,768x512,0.0345,,,,,
caps,63,0.03667046,1.74,1362,768x512,0.0277,,,,,
carnivaldolls,0,0.124165261,6.03,311439,610x488,8.3697,,,,,
carnivaldolls,1,0.112773206,5.07,229242,610x488,6.1607,,,,,
carnivaldolls,2,0.107273384,4.76,193267,610x488,5.1939,,,,,
carnivaldolls,3,0.103195485,4.66,167372,610x488,4.498,,,,,
carnivaldolls,4,0.100262788,4.5,150106,610x488,4.034,,,,,
carnivaldolls,5,0.098857735,4.47,135418,610x488,3.6392,,,,,
carnivaldolls,6,0.0964306,4.39,124485,610x488,3.3454,,,,,
carnivaldolls,7,0.095214218,4.39,114489,610x488,3.0768,,,,,
carnivaldolls,8,0.093432233,4.32,106894,610x488,2.8727,,,,,
carnivaldolls,9,0.092748492,4.32,99565,610x488,2.6757,,,,,
carnivaldolls,10,0.089735685,4.13,93845,610x488,2.522,,,,,
carnivaldolls,11,0.087706102,4.05,88630,610x488,2.3818,,,,,
carnivaldolls,12,0.085534836,3.95,83476,610x488,2.2433,,,,,
carnivaldolls,13,0.084160014,3.9,79206,610x488,2.1286,,,,,
carnivaldolls,14,0.082742071,3.82,75326,610x488,2.0243,,,,,
carnivaldolls,15,0.081350197,3.81,71881,610x488,1.9317,,,,,
carnivaldolls,16,0.081114747,3.81,68063,610x488,1.8291,,,,,
carnivaldolls,17,0.080310985,3.68,65035,610x488,1.7477,,,,,
carnivaldolls,18,0.079035653,3.67,62244,610x488,1.6727,,,,,
carnivaldolls,19,0.07813868,3.66,59845,610x488,1.6083,,,,,
carnivaldolls,20,0.077191939,3.6,57262,610x488,1.5388,,,,,
carnivaldolls,21,0.077417639,3.63,55022,610x488,1.4786,,,,,
carnivaldolls,22,0.075879966,3.62,53045,610x488,1.4255,,,,,
carnivaldolls,23,0.07778567,3.72,51306,610x488,1.3788,,,,,
carnivaldolls,24,0.075111444,3.52,49168,610x488,1.3213,,,,,
carnivaldolls,25,0.074003722,3.45,46175,610x488,1.2409,,,,,
carnivaldolls,26,0.072875709,3.42,43351,610x488,1.165,,,,,
carnivaldolls,27,0.071824697,3.46,40985,610x488,1.1014,,,,,
carnivaldolls,28,0.071114585,3.33,38853,610x488,1.0441,,,,,
carnivaldolls,29,0.069716812,3.27,36899,610x488,0.9916,,,,,
carnivaldolls,30,0.069168411,3.27,35234,610x488,0.9468,,,,,
carnivaldolls,31,0.068268389,2.97,32841,610x488,0.8825,,,,,
carnivaldolls,32,0.067634377,3.44,30772,610x488,0.8269,,,,,
carnivaldolls,33,0.065894604,3.12,28944,610x488,0.7778,,,,,
carnivaldolls,34,0.064579161,3.08,27447,610x488,0.7376,,,,,
carnivaldolls,35,0.06412378,3.11,25580,610x488,0.6874,,,,,
carnivaldolls,36,0.062774877,2.99,23916,610x488,0.6427,,,,,
carnivaldolls,37,0.062294796,2.98,22414,610x488,0.6023,,,,,
carnivaldolls,38,0.061108203,2.98,20879,610x488,0.5611,,,,,
carnivaldolls,39,0.061048393,2.97,19447,610x488,0.5226,,,,,
carnivaldolls,40,0.060071591,2.89,18230,610x488,0.4899,,,,,
carnivaldolls,41,0.059264889,2.84,16892,610x488,0.4539,,,,,
carnivaldolls,42,0.058418097,2.92,15770,610x488,0.4238,,,,,
carnivaldolls,43,0.057450445,2.79,14622,610x488,0.3929,,,,,
carnivaldolls,44,0.056780524,2.76,13609,610x488,0.3657,,,,,
carnivaldolls,45,0.055640281,2.73,12603,610x488,0.3386,,,,,
carnivaldolls,46,0.0551008,2.67,11690,610x488,0.3141,,,,,
carnivaldolls,47,0.054146638,2.62,10841,610x488,0.2913,,,,,
carnivaldolls,48,0.053600287,2.65,10078,610x488,0.2708,,,,,
carnivaldolls,49,0.052188234,2.56,9274,610x488,0.2492,,,,,
carnivaldolls,50,0.051010651,2.51,8646,610x488,0.2323,,,,,
carnivaldolls,51,0.050906151,2.51,8042,610x488,0.2161,,,,,
carnivaldolls,52,0.049893619,2.47,7511,610x488,0.2018,,,,,
carnivaldolls,53,0.049103347,2.48,6904,610x488,0.1855,,,,,
carnivaldolls,54,0.050595231,2.57,6417,610x488,0.1724,,,,,
carnivaldolls,55,0.047331963,2.31,5984,610x488,0.1608,,,,,
carnivaldolls,56,0.046708392,2.25,5510,610x488,0.148,,,,,
carnivaldolls,57,0.046162531,2.3,5050,610x488,0.1357,,,,,
carnivaldolls,58,0.045304759,2.24,4602,610x488,0.1236,,,,,
carnivaldolls,59,0.044191896,2.16,4204,610x488,0.1129,,,,,
carnivaldolls,60,0.042806194,2.05,3754,610x488,0.1008,,,,,
carnivaldolls,61,0.04160675,2.03,3352,610x488,0.09,,,,,
carnivaldolls,62,0.040303037,1.99,2814,610x488,0.0756,,,,,
carnivaldolls,63,0.039041165,1.96,2278,610x488,0.0612,,,,,
cemetry,0,0.142612281,6.72,432754,627x482,11.4555,,,,,
cemetry,1,0.135739126,5.99,336182,627x482,8.8991,,,,,
cemetry,2,0.130544105,5.8,287458,627x482,7.6093,,,,,
cemetry,3,0.127035427,5.62,251567,627x482,6.6593,,,,,
cemetry,4,0.125846525,5.68,227184,627x482,6.0138,,,,,
cemetry,5,0.123260869,5.52,206499,627x482,5.4662,,,,,
cemetry,6,0.121964787,5.43,191003,627x482,5.056,,,,,
cemetry,7,0.120295442,5.48,176499,627x482,4.6721,,,,,
cemetry,8,0.117203746,5.26,164689,627x482,4.3595,,,,,
cemetry,9,0.113815409,5.15,153020,627x482,4.0506,,,,,
cemetry,10,0.109535289,4.99,143986,627x482,3.8114,,,,,
cemetry,11,0.106368692,4.81,135763,627x482,3.5938,,,,,
cemetry,12,0.102524333,4.72,127996,627x482,3.3882,,,,,
cemetry,13,0.100246429,4.61,121439,627x482,3.2146,,,,,
cemetry,14,0.098465135,4.54,115823,627x482,3.0659,,,,,
cemetry,15,0.097465222,4.52,110392,627x482,2.9222,,,,,
cemetry,16,0.095585209,4.44,104852,627x482,2.7755,,,,,
cemetry,17,0.095043538,4.38,100402,627x482,2.6577,,,,,
cemetry,18,0.093369554,4.36,96088,627x482,2.5435,,,,,
cemetry,19,0.092372162,4.28,92160,627x482,2.4395,,,,,
cemetry,20,0.09154019,4.34,87995,627x482,2.3293,,,,,
cemetry,21,0.089493175,4.2,84414,627x482,2.2345,,,,,
cemetry,22,0.088088842,4.23,81616,627x482,2.1604,,,,,
cemetry,23,0.087759691,4.15,78682,627x482,2.0828,,,,,
cemetry,24,0.087893812,4.51,75290,627x482,1.993,,,,,
cemetry,25,0.085866528,3.94,70400,627x482,1.8635,,,,,
cemetry,26,0.084389824,3.93,65967,627x482,1.7462,,,,,
cemetry,27,0.083194591,3.9,62056,627x482,1.6427,,,,,
cemetry,28,0.081700968,3.84,58680,627x482,1.5533,,,,,
cemetry,29,0.080438595,3.81,55368,627x482,1.4656,,,,,
cemetry,30,0.079131073,3.73,52466,627x482,1.3888,,,,,
cemetry,31,0.0778576,3.63,48797,627x482,1.2917,,,,,
cemetry,32,0.076992118,3.6,45388,627x482,1.2014,,,,,
cemetry,33,0.075697815,3.63,42464,627x482,1.124,,,,,
cemetry,34,0.074124242,3.48,39877,627x482,1.0555,,,,,
cemetry,35,0.072380188,3.43,37063,627x482,0.9811,,,,,
cemetry,36,0.071408196,3.32,34477,627x482,0.9126,,,,,
cemetry,37,0.069992123,3.35,32154,627x482,0.8511,,,,,
cemetry,38,0.06873326,3.24,29912,627x482,0.7918,,,,,
cemetry,39,0.067590307,3.23,27794,627x482,0.7357,,,,,
cemetry,40,0.066896626,3.38,25919,627x482,0.6861,,,,,
cemetry,41,0.066042244,3.36,23964,627x482,0.6343,,,,,
cemetry,42,0.063927959,3,22284,627x482,0.5898,,,,,
cemetry,43,0.062645587,2.94,20584,627x482,0.5448,,,,,
cemetry,44,0.061646844,2.91,19095,627x482,0.5054,,,,,
cemetry,45,0.060047311,2.9,17759,627x482,0.4701,,,,,
cemetry,46,0.059088809,2.86,16291,627x482,0.4312,,,,,
