Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,avg time,avg energy,,,
caps,53,0.031204958,1.56,3594,768x512,0.0731,,,,,,
caps,54,0.031024018,1.53,3319,768x512,0.0675,,,,,,
caps,55,0.030793947,1.54,3032,768x512,0.0616,,,,,,
caps,56,0.030783188,1.55,2781,768x512,0.0565,,,,,,
caps,57,0.030754217,1.49,2581,768x512,0.0525,,,,,,
caps,58,0.030570616,1.49,2370,768x512,0.0482,,,,,,
caps,59,0.0321839,1.61,2163,768x512,0.044,,,,,,
caps,60,0.030459176,1.5,1996,768x512,0.0406,,,,,,
caps,61,0.030418876,1.5,1824,768x512,0.0371,,,,,,
caps,62,0.030032565,1.49,1606,768x512,0.0326,,,,,,
caps,63,0.029901605,1.47,1346,768x512,0.0273,,,,,,
carnivaldolls,0,0.061062963,3,325560,610x488,8.7492,,,,,,
carnivaldolls,1,0.052536485,2.65,237730,610x488,6.3888,,,,,,
carnivaldolls,2,0.049419508,2.43,200241,610x488,5.3813,,,,,,
carnivaldolls,3,0.047483134,2.38,174195,610x488,4.6814,,,,,,
carnivaldolls,4,0.045904201,2.24,156355,610x488,4.2019,,,,,,
carnivaldolls,5,0.044305377,2.14,141697,610x488,3.808,,,,,,
carnivaldolls,6,0.042945974,2.1,130054,610x488,3.4951,,,,,,
carnivaldolls,7,0.042484272,2.08,120209,610x488,3.2305,,,,,,
carnivaldolls,8,0.041782991,2.07,112534,610x488,3.0242,,,,,,
carnivaldolls,9,0.040889989,2.03,105228,610x488,2.8279,,,,,,
carnivaldolls,10,0.040114067,1.96,99461,610x488,2.6729,,,,,,
carnivaldolls,11,0.039984087,1.97,94332,610x488,2.5351,,,,,,
carnivaldolls,12,0.039278776,1.99,89317,610x488,2.4003,,,,,,
carnivaldolls,13,0.038850035,1.88,85219,610x488,2.2902,,,,,,
carnivaldolls,14,0.038360334,1.88,81388,610x488,2.1872,,,,,,
carnivaldolls,15,0.037941092,1.91,77869,610x488,2.0926,,,,,,
carnivaldolls,16,0.037371241,1.86,73655,610x488,1.9794,,,,,,
carnivaldolls,17,0.037560332,1.89,70716,610x488,1.9004,,,,,,
carnivaldolls,18,0.037000511,1.84,68023,610x488,1.828,,,,,,
carnivaldolls,19,0.037187972,1.83,65531,610x488,1.7611,,,,,,
carnivaldolls,20,0.037079081,1.86,62917,610x488,1.6908,,,,,,
carnivaldolls,21,0.03637294,1.88,60705,610x488,1.6314,,,,,,
carnivaldolls,22,0.036160769,1.87,58694,610x488,1.5773,,,,,,
carnivaldolls,23,0.038375504,1.9,56807,610x488,1.5266,,,,,,
carnivaldolls,24,0.036016209,1.8,54450,610x488,1.4633,,,,,,
carnivaldolls,25,0.03677562,1.88,51101,610x488,1.3733,,,,,,
carnivaldolls,26,0.035210276,1.81,48141,610x488,1.2937,,,,,,
carnivaldolls,27,0.035282977,1.7,45627,610x488,1.2262,,,,,,
carnivaldolls,28,0.034451635,1.8,43277,610x488,1.163,,,,,,
carnivaldolls,29,0.034077544,1.66,41120,610x488,1.105,,,,,,
carnivaldolls,30,0.033785673,1.66,39088,610x488,1.0504,,,,,,
carnivaldolls,31,0.033822764,1.66,36166,610x488,0.9719,,,,,,
carnivaldolls,32,0.033048592,1.63,33897,610x488,0.9109,,,,,,
