Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,avg time,,,,
cemetry,30,0.03678122,1.73,54949,627x482,1.4545,,,,,,
cemetry,31,0.037021351,1.8,50450,627x482,1.3354,,,,,,
cemetry,32,0.03637727,1.84,47009,627x482,1.2443,,,,,,
cemetry,33,0.035587138,1.69,44019,627x482,1.1652,,,,,,
cemetry,34,0.035274597,1.73,41325,627x482,1.0939,,,,,,
cemetry,35,0.034652796,1.86,38393,627x482,1.0163,,,,,,
cemetry,36,0.034755475,1.76,35682,627x482,0.9445,,,,,,
cemetry,37,0.034624075,1.67,33210,627x482,0.8791,,,,,,
cemetry,38,0.034069884,1.62,30786,627x482,0.8149,,,,,,
cemetry,39,0.033419713,1.61,28524,627x482,0.755,,,,,,
cemetry,40,0.033202062,1.59,26639,627x482,0.7051,,,,,,
cemetry,41,0.033386933,1.61,24634,627x482,0.652,,,,,,
cemetry,42,0.032778622,1.58,22844,627x482,0.6047,,,,,,
cemetry,43,0.033116622,1.65,21120,627x482,0.559,,,,,,
cemetry,44,0.03182798,1.55,19502,627x482,0.5162,,,,,,
cemetry,45,0.03204773,1.54,17923,627x482,0.4744,,,,,,
cemetry,46,0.03205733,1.54,16423,627x482,0.4347,,,,,,
cemetry,47,0.031039397,1.54,15134,627x482,0.4006,,,,,,
cemetry,48,0.030972958,1.54,13861,627x482,0.3669,,,,,,
cemetry,49,0.032289841,1.63,12650,627x482,0.3348,,,,,,
cemetry,50,0.030297576,1.51,11582,627x482,0.3065,,,,,,
cemetry,51,0.030335136,1.51,10591,627x482,0.2803,,,,,,
cemetry,52,0.030335146,1.44,9649,627x482,0.2554,,,,,,
cemetry,53,0.030642137,1.47,8824,627x482,0.2335,,,,,,
cemetry,54,0.030053546,1.43,8021,627x482,0.2123,,,,,,
cemetry,55,0.029805155,1.45,7278,627x482,0.1926,,,,,,
cemetry,56,0.029919906,1.43,6569,627x482,0.1738,,,,,,
cemetry,57,0.029951846,1.42,5919,627x482,0.1566,,,,,,
cemetry,58,0.028991723,1.38,5319,627x482,0.1408,,,,,,
cemetry,59,0.028799593,1.39,4752,627x482,0.1257,,,,,,
cemetry,60,0.028685502,1.39,4158,627x482,0.11,,,,,,
cemetry,61,0.028888714,1.38,3647,627x482,0.0965,,,,,,
cemetry,62,0.028285202,1.37,3071,627x482,0.0812,,,,,,
cemetry,63,0.028638693,1.32,2385,627x482,0.0631,,,,,,
churchandcapitol,0,0.073758121,3.53,415903,634x505,10.392,,,,,,
churchandcapitol,1,0.061852355,2.95,305823,634x505,7.6415,,,,,,
churchandcapitol,2,0.057168995,2.74,255960,634x505,6.3956,,,,,,
churchandcapitol,3,0.05488973,2.65,221401,634x505,5.532,,,,,,
churchandcapitol,4,0.052356244,2.49,197060,634x505,4.9238,,,,,,
churchandcapitol,5,0.050738321,2.47,177044,634x505,4.4237,,,,,,
churchandcapitol,6,0.049130048,2.36,161213,634x505,4.0281,,,,,,
churchandcapitol,7,0.048256236,2.34,147735,634x505,3.6914,,,,,,
churchandcapitol,8,0.046132531,2.25,137294,634x505,3.4305,,,,,,
churchandcapitol,9,0.04587273,2.27,127383,634x505,3.1828,,,,,,
churchandcapitol,10,0.045127829,2.2,119629,634x505,2.9891,,,,,,
churchandcapitol,11,0.044245186,2.12,112791,634x505,2.8182,,,,,,
churchandcapitol,12,0.043366995,2.12,106132,634x505,2.6518,,,,,,
churchandcapitol,13,0.043252884,2.09,100844,634x505,2.5197,,,,,,
